1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.629351	0.000000	22.165194	0.017430	26.1
1	-0.616272	0.000000	22.165194	0.011481	0.6
2	-0.646053	0.000000	22.165194	0.010595	0.6
3	-0.631594	0.000000	22.165194	0.007402	0.6
4	-0.618583	0.000000	22.165194	0.010329	0.6
5	-0.598961	0.000000	22.165194	0.007015	0.6
6	-0.653136	0.000000	22.165194	0.004366	0.6
7	-0.629796	0.000000	22.165194	0.005179	0.5
8	-0.647145	0.000000	22.165194	0.010167	0.5
9	-0.636757	0.000000	22.165194	0.004230	0.5
10	-0.623695	1.000000	21.157685	0.006160	0.6
11	-0.642789	0.944301	21.211387	0.001394	0.5
12	-0.629123	1.101098	21.060902	0.005987	0.5
13	-0.671299	1.047179	21.112409	0.002097	0.5
14	-0.652537	1.800499	20.414864	0.004831	0.5
15	-0.625415	2.792769	19.563468	0.005940	0.6
16	-0.588234	3.792753	18.774400	0.006152	0.5
17	-0.649227	4.779680	18.055657	0.006247	0.6
18	-0.626188	4.723982	18.094752	0.005775	0.6
19	-0.627711	5.723962	17.417667	0.002216	0.6
20	-0.643135	6.723954	16.789419	0.006535	0.6
21	-0.656108	6.668339	16.823166	0.003639	0.6
22	-0.617185	6.612641	16.857100	0.001770	0.6
23	-0.641185	6.652996	16.832501	0.005016	0.6
24	-0.644167	6.597588	16.866295	0.004554	0.6
25	-0.635979	7.596251	16.277276	0.002037	0.5
26	-0.610470	8.591237	15.729963	0.003618	0.6
27	-0.633662	8.539728	15.757392	0.005112	0.5
28	-0.624536	8.484030	15.787159	0.003734	0.5
29	-0.643516	8.428331	15.817040	0.003446	0.5
30	-0.657658	8.372632	15.847033	0.005156	0.5
31	-0.636039	9.372632	15.325279	0.002685	0.5
32	-0.613606	10.318499	14.862432	0.005966	0.5
33	-0.642068	10.262941	14.888845	0.002639	0.6
34	-0.660321	10.207243	14.915418	0.004460	0.6
35	-0.620360	11.206646	14.452578	0.003539	0.5
36	-0.609245	11.150947	14.477616	0.002821	0.6
37	-0.639813	12.150695	14.041005	0.005404	0.6
38	-0.650087	12.412043	13.931177	0.006316	0.5
39	-0.623257	12.356344	13.954439	0.003671	0.5
40	-0.647296	12.300645	13.977779	0.002803	0.5
41	-0.629869	12.245000	14.001175	0.004371	0.5
