1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.533596	0.000000	19.839289	0.009751	79.3
1	-0.545481	0.000000	19.839289	0.008446	0.7
2	-0.514151	1.000000	18.937503	0.004273	0.6
3	-0.539541	0.481807	19.394321	0.011028	0.6
4	-0.531690	0.063449	19.779527	0.008287	0.6
5	-0.517985	0.000000	19.839289	0.016148	0.6
6	-0.557636	0.999575	18.937869	0.007155	0.6
7	-0.539617	1.999573	18.114469	0.007337	0.6
8	-0.543308	2.993948	17.363756	0.008037	0.6
9	-0.565538	3.977360	16.680108	0.015547	0.9
10	-0.558104	3.441413	17.045866	0.009662	0.7
11	-0.526491	4.441413	16.375862	0.013278	0.6
12	-0.541697	3.905468	16.728257	0.007789	0.6
13	-0.533713	4.598735	16.275221	0.003553	0.6
14	-0.529243	4.276648	16.482607	0.007237	0.6
15	-0.495670	4.637301	16.250738	0.008856	0.6
16	-0.524061	4.251713	16.498883	0.006272	0.7
17	-0.517527	4.564181	16.297219	0.007760	0.7
18	-0.548349	5.385190	15.790110	0.013734	0.6
19	-0.549374	6.247802	15.290227	0.007468	0.6
20	-0.516721	7.247720	14.748980	0.005075	0.6
21	-0.526295	6.713632	15.033218	0.010102	0.7
22	-0.539671	7.712943	14.510009	0.005873	0.7
23	-0.566099	7.189474	14.779455	0.004692	0.7
24	-0.542997	8.125517	14.304469	0.010801	0.6
25	-0.537318	7.589862	14.572476	0.002250	0.6
26	-0.529942	7.436172	14.651236	0.013856	0.6
27	-0.529209	6.938374	14.912288	0.007095	0.6
28	-0.539574	7.913856	14.409184	0.011608	0.7
29	-0.548584	7.378379	14.681073	0.012062	0.6
30	-0.514663	6.844900	14.962347	0.010924	0.6
31	-0.539610	7.844900	14.443630	0.008614	0.6
32	-0.529885	8.844897	13.959675	0.008928	0.6
33	-0.513541	9.844895	13.507099	0.009590	0.6
34	-0.530181	9.308974	13.745931	0.017995	0.6
35	-0.497797	10.308974	13.306890	0.009496	0.6
36	-0.564876	11.308956	12.895033	0.009510	0.6
37	-0.518944	12.308536	12.508057	0.013779	0.6
38	-0.524342	13.308536	12.143481	0.013386	0.6
39	-0.537202	12.772588	12.336190	0.012194	0.6
40	-0.510079	12.236644	12.535112	0.011100	0.6
41	-0.537067	13.236644	12.168981	0.011655	0.6
42	-0.514219	14.236642	11.823631	0.004275	0.7
43	-0.547284	13.825145	11.963340	0.006251	0.7
44	-0.535684	14.362336	11.781605	0.005255	0.6
45	-0.531179	13.859229	11.951643	0.006816	0.6
46	-0.535485	14.322176	11.795000	0.010768	0.6
47	-0.559764	13.786236	11.976722	0.011311	0.6
48	-0.536283	14.786236	11.642048	0.007687	0.7
49	-0.551686	14.860943	11.617794	0.012774	0.7
50	-0.495842	14.324995	11.794059	0.012666	0.6
51	-0.518983	15.324995	11.469377	0.006612	0.6
52	-0.544732	14.789056	11.641130	0.004572	0.6
53	-0.493528	14.255543	11.817292	0.005719	0.6
54	-0.551191	15.092699	11.543195	0.010697	0.6
55	-0.531218	15.920938	11.284249	0.005787	0.6
56	-0.546482	16.860355	11.004257	0.006802	0.6
