1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
116	-1.129404	4.542224	56.200584	0.000872	0.6
117	-1.147023	5.211542	54.765489	0.001593	0.6
118	-1.100113	5.181720	54.827869	0.001472	0.7
119	-1.140258	6.181695	52.810830	0.001004	0.6
120	-1.112406	7.177035	50.945313	0.001443	0.6
121	-1.106326	8.098012	49.332851	0.000950	0.7
122	-1.143318	8.068190	49.383464	0.000566	0.6
123	-1.071283	8.576818	48.534224	0.001171	0.6
124	-1.117897	8.547104	48.583032	0.001685	0.6
125	-1.133630	9.547104	46.992602	0.000685	0.6
126	-1.101877	10.544173	45.507229	0.000212	0.6
127	-1.124257	10.534301	45.521475	0.001400	0.6
128	-1.077482	10.549249	45.499906	0.000870	0.6
129	-1.120968	11.547810	44.103977	0.001237	0.7
130	-1.098104	11.517988	44.144425	0.000924	0.7
131	-1.134464	11.488165	44.184948	0.001114	0.7
132	-1.109965	11.458357	44.225525	0.001316	0.6
133	-1.115740	11.429028	44.265523	0.000795	0.6
134	-1.110152	12.429016	42.941374	0.001260	0.6
135	-1.119675	13.429015	41.694132	0.000980	0.6
136	-1.096515	14.426003	40.520741	0.000834	0.7
137	-1.117564	15.426002	39.408329	0.001372	0.7
138	-1.096001	15.397329	39.439375	0.000511	0.8
139	-1.079736	15.367506	39.471717	0.000791	0.7
140	-1.083851	16.142723	38.647891	0.000767	0.6
141	-1.101400	17.094430	37.682357	0.001646	0.7
142	-1.129849	17.067505	37.709009	0.000472	0.6
143	-1.110594	17.510654	37.275085	0.001511	0.7
144	-1.125853	17.480831	37.303973	0.000521	0.6
145	-1.109204	17.451009	37.332906	0.001538	0.5
146	-1.097395	17.421186	37.361883	0.001430	0.6
147	-1.133113	17.391364	37.390906	0.000787	0.6
148	-1.132381	18.391356	36.441698	0.001504	0.6
149	-1.120089	18.361534	36.469308	0.000710	0.6
150	-1.103591	18.331717	36.496955	0.001568	0.6
151	-1.114810	18.301894	36.524649	0.000592	0.5
152	-1.112464	18.272286	36.552186	0.001803	0.7
153	-1.107513	18.345099	36.484542	0.000752	0.5
154	-1.115684	18.315276	36.512217	0.000517	0.6
155	-1.116387	18.285603	36.539795	0.000824	0.7
156	-1.099345	19.147506	35.755344	0.001503	0.5
157	-1.121497	20.147506	34.886388	0.000846	0.6
158	-1.121854	20.117684	34.911691	0.000899	0.6
159	-1.143864	20.087861	34.937031	0.001060	0.6
160	-1.141815	21.087861	34.106934	0.000413	0.5
161	-1.110453	21.058039	34.131118	0.001002	0.6
162	-1.041595	21.028562	34.155056	0.000442	0.6
163	-1.128848	21.009150	34.170839	0.001502	0.6
164	-1.110687	20.980545	34.194122	0.000789	0.6
