1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.691368	0.000000	40.901397	0.007150	14.6
1	-0.680970	0.000000	40.901397	0.007779	0.6
2	-0.697407	0.000000	40.901397	0.004466	0.6
3	-0.657446	0.000000	40.901397	0.006391	0.5
4	-0.693702	0.000000	40.901397	0.006001	0.5
5	-0.706291	0.000000	40.901397	0.003150	0.6
6	-0.663073	0.000000	40.901397	0.006508	0.6
7	-0.657644	0.000000	40.901397	0.002690	0.6
8	-0.681564	0.000000	40.901397	0.003864	0.7
9	-0.678235	0.033003	40.837219	0.000531	0.6
10	-0.670774	0.000000	40.901397	0.003079	0.6
11	-0.715166	0.093717	40.719677	0.003603	0.5
12	-0.643468	0.316563	40.293989	0.002800	0.6
13	-0.717171	0.281509	40.360360	0.002204	0.6
14	-0.688011	0.307067	40.311947	0.003042	0.6
15	-0.676980	0.216345	40.484322	0.001973	0.6
16	-0.661099	1.170748	38.741558	0.002103	0.5
17	-0.745186	1.124811	38.821996	0.004054	0.6
18	-0.705674	1.034104	38.981813	0.005923	0.5
19	-0.682879	2.034104	37.289461	0.001706	0.6
20	-0.728171	1.943378	37.436916	0.002699	0.5
21	-0.663979	2.442603	36.639674	0.001064	0.6
22	-0.744641	2.809509	36.075055	0.002632	0.5
23	-0.655392	2.726499	36.201268	0.004625	0.6
24	-0.699936	3.726499	34.737200	0.002389	0.5
25	-0.674243	4.726499	33.386951	0.002056	0.6
26	-0.712483	4.635908	33.504931	0.001966	0.6
27	-0.696917	5.280492	32.683153	0.002164	0.5
28	-0.676876	5.190306	32.795697	0.003405	0.6
29	-0.691919	5.981335	31.834205	0.001854	0.7
30	-0.722309	6.981329	30.696517	0.002058	0.6
31	-0.712323	7.962547	29.656554	0.002691	0.6
32	-0.680146	7.872545	29.749000	0.002442	0.6
33	-0.679149	8.622092	28.996242	0.003427	0.6
34	-0.687546	9.174081	28.465799	0.001787	0.6
35	-0.713685	9.083356	28.551647	0.002390	0.6
36	-0.705558	10.080362	27.635757	0.002257	0.6
37	-0.699805	10.005941	27.702089	0.002194	0.6
38	-0.686086	10.339584	27.407171	0.001758	0.5
39	-0.643117	11.332728	26.565322	0.001969	0.5
40	-0.643576	11.244837	26.637733	0.002236	0.6
41	-0.703121	12.243730	25.837333	0.001716	0.6
42	-0.648152	12.153083	25.907978	0.003537	0.6
43	-0.700957	13.131228	25.165498	0.003972	0.6
44	-0.691669	13.040503	25.232569	0.002743	0.6
