1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.868929	0.000000	77.996190	0.005552	13.0
1	-0.858174	0.000000	77.996190	0.002646	0.8
2	-0.856220	0.000000	77.996190	0.002473	0.6
3	-0.821505	0.000000	77.996190	0.002517	0.6
4	-0.886332	0.000000	77.996190	0.002166	0.7
5	-0.863959	0.000000	77.996190	0.002232	0.6
6	-0.876128	0.000000	77.996190	0.001626	0.6
7	-0.883127	0.047547	77.819994	0.001107	0.6
8	-0.850590	0.232487	77.142163	0.002068	0.7
9	-0.958132	0.009170	77.962147	0.002914	0.6
10	-0.883026	0.000000	77.996190	0.002539	0.6
11	-0.878695	0.000000	77.996190	0.002345	0.6
12	-0.908269	0.000000	77.996190	0.000673	0.6
13	-0.860231	0.000000	77.996190	0.001580	0.6
14	-0.892894	0.000000	77.996190	0.002201	0.6
15	-0.846792	0.897880	74.798109	0.002772	0.6
16	-0.859407	1.863623	71.638690	0.001684	0.6
17	-0.869781	2.863617	68.636703	0.001841	0.6
18	-0.875040	3.863551	65.876351	0.001753	0.6
19	-0.865388	3.639931	66.474213	0.000767	0.6
20	-0.893908	4.083193	65.299502	0.001822	0.6
21	-0.862365	5.052959	62.868866	0.003367	0.6
22	-0.873852	4.829285	63.413293	0.002416	0.6
23	-0.875461	5.514615	61.774232	0.000472	0.5
24	-0.894131	5.308123	62.259097	0.002462	0.6
25	-0.868559	5.150839	62.633555	0.002151	0.5
26	-0.913827	5.753875	61.221785	0.001998	0.6
27	-0.855047	5.532898	61.731665	0.001684	0.7
28	-0.863572	5.309216	62.256510	0.000787	0.6
29	-0.874129	5.408475	62.022513	0.002915	0.6
30	-0.857704	5.185422	62.550835	0.001451	0.6
31	-0.874112	6.184864	60.251175	0.001642	0.6
32	-0.923339	5.973125	60.724146	0.003714	0.7
33	-0.877937	6.973125	58.553343	0.000779	0.6
34	-0.882630	7.837894	56.797489	0.001952	0.6
35	-0.869143	8.547640	55.433192	0.001150	0.5
36	-0.874562	8.386015	55.738078	0.001835	0.6
37	-0.885736	9.301516	54.054062	0.002408	0.7
38	-0.872522	10.301509	52.327189	0.001649	0.7
39	-0.913177	11.301389	50.707417	0.002085	0.7
40	-0.871751	12.301349	49.184794	0.002470	0.6
41	-0.868503	12.077585	49.517521	0.001414	0.6
42	-0.889678	11.887306	49.804018	0.002578	0.6
43	-0.869118	11.853709	49.854950	0.002663	0.6
44	-0.878255	12.853709	48.382291	0.001379	0.7
45	-0.858311	12.629944	48.704214	0.001899	0.6
46	-0.896525	13.331446	47.709031	0.001793	0.6
47	-0.876239	13.767148	47.111140	0.000930	0.6
48	-0.881466	13.552158	47.404274	0.002392	0.6
49	-0.890330	14.548312	46.075886	0.001623	0.8
50	-0.894773	15.008006	45.487662	0.002391	0.7
51	-0.861636	15.400735	44.996893	0.001532	0.6
52	-0.857481	15.176971	45.275211	0.001852	0.7
53	-0.866485	16.174316	44.060528	0.001961	0.6
54	-0.866717	17.163499	42.918497	0.002999	0.7
55	-0.874183	17.263671	42.806139	0.002021	0.6
56	-0.882961	18.263671	41.715916	0.002227	0.8
57	-0.871744	18.040440	41.954445	0.001269	0.7
58	-0.904166	17.816678	42.196295	0.001294	0.7
59	-0.861224	18.363919	41.609678	0.001569	0.8
60	-0.887506	18.919859	41.030205	0.001579	0.7
61	-0.876584	19.497005	40.445460	0.000967	0.6
62	-0.908439	19.472548	40.469901	0.001923	0.6
63	-0.872337	19.687370	40.256227	0.001271	0.7
64	-0.874305	20.673985	39.303177	0.001043	0.6
65	-0.812404	20.537242	39.432565	0.001893	0.6
66	-0.882210	21.499089	38.540120	0.001859	0.6
67	-0.873865	22.484876	37.666429	0.002928	0.7
68	-0.867327	23.484876	36.819705	0.002268	0.7
69	-0.876118	24.484369	36.010612	0.001143	0.7
70	-0.860786	24.260617	36.188636	0.001953	0.6
71	-0.879181	25.239614	35.422441	0.002481	0.7
72	-0.844482	25.016779	35.593973	0.001808	0.6
73	-0.869541	26.016602	34.837056	0.001261	0.7
74	-0.897996	26.995507	34.126528	0.002300	0.7
75	-0.871456	26.812496	34.257153	0.002886	0.7
76	-0.872973	26.588731	34.418232	0.002542	0.8
77	-0.878092	27.430294	33.820154	0.002893	0.7
78	-0.857733	27.206529	33.977140	0.002173	0.7
79	-0.888771	28.196703	33.293288	0.001672	0.6
80	-0.858902	27.973250	33.445197	0.001511	0.6
81	-0.813500	28.953835	32.788674	0.001184	0.6
82	-0.851099	29.950244	32.147442	0.002425	0.6
83	-0.864218	30.180150	32.003033	0.004106	0.6
84	-0.871663	31.180150	31.389714	0.001776	0.6
85	-0.857267	30.956386	31.524902	0.001117	0.6
86	-0.892776	31.851424	30.991029	0.002857	0.6
87	-0.861152	32.827624	30.428986	0.001538	0.6
88	-0.870065	32.603863	30.556007	0.000443	0.6
89	-0.859128	33.155940	30.244512	0.001381	0.6
90	-0.901073	33.000756	30.331427	0.002555	0.6
91	-0.851232	33.997316	29.781817	0.001326	0.6
92	-0.865736	34.997137	29.250067	0.001792	0.5
93	-0.868785	35.870647	28.800797	0.002090	0.5
94	-0.866822	35.744671	28.864737	0.002324	0.6
95	-0.875778	36.744665	28.364871	0.001790	0.6
96	-0.857934	37.744665	27.882021	0.001171	0.6
97	-0.833175	38.740385	27.417299	0.003335	0.6
98	-0.853203	39.734264	26.968631	0.001090	0.6
99	-0.864912	40.734253	26.531786	0.001848	0.6
100	-0.867170	41.240613	26.315936	0.001572	0.5
101	-0.876343	41.503648	26.205190	0.001542	0.5
102	-0.870515	41.807563	26.078388	0.001755	0.6
103	-0.858744	42.732655	25.699855	0.002252	0.5
104	-0.833909	42.508941	25.790384	0.002038	0.5
105	-0.832676	42.294268	25.877857	0.000836	0.5
106	-0.855060	43.270666	25.484721	0.002553	0.5
107	-0.875418	43.078431	25.561175	0.002405	0.5
108	-0.907388	42.854842	25.650678	0.002421	0.5
109	-0.854787	42.631081	25.740879	0.001761	0.5
110	-0.898314	43.630806	25.342713	0.001567	0.5
111	-0.883508	43.419982	25.425651	0.002110	0.6
112	-0.857081	43.198869	25.513222	0.000933	0.6
113	-0.842570	43.624516	25.345180	0.001360	0.6
114	-0.925805	44.084283	25.166137	0.002885	0.5
115	-0.893120	43.949792	25.218249	0.002084	0.6
116	-0.850149	43.726027	25.305431	0.000845	0.7
117	-0.882193	43.511106	25.389737	0.000640	0.6
118	-0.865555	43.381591	25.440813	0.001935	0.6
119	-0.904293	43.169518	25.524892	0.001649	0.6
120	-0.845878	43.295525	25.474868	0.000719	0.6
121	-0.870023	43.195443	25.514584	0.003766	0.7
122	-0.897991	44.154144	25.139153	0.002360	0.6
123	-0.899187	45.154144	24.759144	0.001883	0.6
124	-0.875044	46.049379	24.428563	0.002841	0.6
125	-0.856403	46.637619	24.216109	0.002659	0.6
126	-0.874601	46.413854	24.296489	0.002169	0.6
127	-0.888587	47.386997	23.950752	0.002910	0.5
128	-0.874707	47.163232	24.029377	0.001526	0.5
129	-0.862908	46.939468	24.108520	0.001185	0.5
130	-0.870295	46.715858	24.188130	0.002212	0.5
131	-0.882721	46.526985	24.255785	0.000761	0.5
132	-0.862897	46.305042	24.335770	0.001403	0.6
133	-0.885092	46.095173	24.411890	0.002015	0.5
134	-0.883154	45.873812	24.492697	0.003494	0.5
135	-0.886316	46.873736	24.131867	0.000782	0.5
136	-0.874149	46.650000	24.211678	0.001429	0.5
137	-0.913633	47.047548	24.070228	0.000708	0.6
138	-0.835322	47.416846	23.940303	0.001961	0.7
139	-0.848901	47.309863	23.977796	0.002186	0.6
140	-0.839592	47.086550	24.056440	0.001039	0.6
141	-0.892345	47.043644	24.071609	0.002719	0.6
142	-0.885417	47.837323	23.794069	0.001007	0.6
143	-0.931927	48.057851	23.718085	0.001935	0.6
144	-0.864303	47.886045	23.777240	0.001818	0.6
145	-0.833987	48.658623	23.513528	0.001635	0.6
146	-0.881553	49.658395	23.180826	0.003460	0.5
147	-0.892128	49.434641	23.254466	0.001088	0.6
148	-0.869371	50.412851	22.935928	0.000972	0.6
149	-0.905752	51.105072	22.715739	0.002089	0.6
150	-0.822137	51.615634	22.556024	0.001535	0.6
151	-0.850295	52.606707	22.252320	0.002337	0.6
152	-0.899270	52.392838	22.317164	0.001053	0.6
153	-0.889431	52.180471	22.381928	0.001942	0.5
154	-0.885802	52.848705	22.179400	0.002365	0.6
155	-0.932802	52.906734	22.161986	0.002117	0.6
156	-0.871019	53.906734	21.866125	0.001224	0.5
157	-0.915699	53.748547	21.912399	0.001837	0.6
158	-0.868768	53.524887	21.978161	0.001280	0.6
159	-0.901218	53.460802	21.997077	0.002013	0.6
160	-0.896036	53.239473	22.062657	0.000817	0.7
161	-0.842347	54.017914	21.833718	0.001168	0.7
162	-0.872504	54.188997	21.784038	0.002268	0.6
163	-0.919713	53.976074	21.845902	0.002104	0.6
164	-0.868763	54.945416	21.567069	0.001579	0.5
165	-0.871953	55.918184	21.294315	0.001961	0.6
166	-0.880035	56.918168	21.021028	0.002253	0.6
167	-0.890945	57.247485	20.932558	0.001143	0.6
168	-0.899788	57.646402	20.826382	0.001411	0.7
169	-0.882485	58.610694	20.574120	0.001230	0.5
170	-0.895865	58.707145	20.549224	0.001374	0.6
171	-0.877327	59.662008	20.305966	0.002457	0.6
172	-0.867992	60.209694	20.169021	0.001178	0.6
173	-0.877123	59.985931	20.224747	0.001868	0.5
174	-0.877608	59.763453	20.280460	0.001892	0.5
175	-0.844416	59.645763	20.310056	0.001413	0.6
176	-0.888703	59.423527	20.366180	0.000902	0.5
177	-0.883284	60.269295	20.154229	0.000753	0.5
178	-0.892654	60.120240	20.191262	0.001777	0.5
179	-0.858963	59.908752	20.244040	0.001423	0.5
180	-0.878402	59.685071	20.300162	0.002423	0.6
181	-0.872729	60.237379	20.162147	0.002367	0.6
182	-0.867992	60.922711	19.993479	0.002428	0.6
183	-0.865616	60.698947	20.048239	0.001538	0.6
184	-0.842264	61.690396	19.807863	0.001416	0.6
185	-0.898035	62.688726	19.571573	0.001902	0.6
186	-0.877788	63.688631	19.340494	0.001720	0.6
187	-0.873632	63.467505	19.391126	0.001561	0.6
188	-0.874755	64.266464	19.209428	0.002175	0.6
189	-0.886257	65.266244	18.986801	0.002895	0.6
190	-0.889325	65.042479	19.036179	0.002603	0.6
191	-0.871534	66.042479	18.817479	0.001119	0.6
192	-0.871665	65.821121	18.865455	0.001108	0.6
193	-0.878694	66.328182	18.755915	0.001924	0.5
194	-0.867637	67.319901	18.545311	0.003340	0.6
195	-0.892555	68.319901	18.337683	0.002902	0.6
196	-0.863755	68.096343	18.383695	0.002319	0.5
197	-0.864739	69.096343	18.179650	0.001865	0.5
198	-0.868350	70.095456	17.980260	0.000976	0.5
199	-0.882270	69.871891	18.024496	0.001070	0.6
200	-0.873880	69.753154	18.048078	0.001482	0.6
201	-0.881882	70.537087	17.893512	0.000616	0.6
