1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.616804	0.000000	24.596471	0.011048	79.6
1	-0.634816	0.000000	24.596471	0.007225	0.7
2	-0.597283	0.000000	24.596471	0.002357	0.6
3	-0.585498	0.094484	24.486301	0.005955	0.6
4	-0.597249	0.000000	24.596471	0.004188	0.6
5	-0.579463	0.928973	23.554495	0.004521	0.6
6	-0.638752	0.772708	23.723548	0.005386	0.6
7	-0.622401	1.768290	22.686196	0.012190	0.6
8	-0.610684	2.768290	21.731723	0.004788	0.7
9	-0.629602	3.768290	20.854322	0.005383	0.5
10	-0.592184	4.399230	20.336281	0.009042	0.6
11	-0.608999	5.399160	19.565997	0.007383	0.6
12	-0.601088	5.232697	19.690156	0.007079	0.6
13	-0.591273	6.204548	18.986748	0.007297	0.6
14	-0.590693	6.035008	19.105816	0.006960	0.6
15	-0.630036	6.501142	18.781980	0.007964	0.6
16	-0.624443	7.501142	18.122989	0.008349	0.7
17	-0.564654	8.501102	17.508698	0.004813	0.7
18	-0.634134	9.501085	16.934673	0.004898	0.6
19	-0.603704	9.431593	16.973344	0.006758	0.6
20	-0.618366	9.282473	17.056926	0.009523	0.6
21	-0.608502	10.282473	16.511671	0.006316	0.6
22	-0.619168	10.112076	16.602103	0.004035	0.6
23	-0.644064	11.112035	16.085119	0.008634	0.6
24	-0.594704	10.941637	16.170927	0.004744	0.6
25	-0.598466	11.941575	15.680061	0.008576	0.6
26	-0.636368	11.771222	15.761569	0.006560	0.6
27	-0.622313	12.767421	15.296575	0.005584	0.6
28	-0.593455	13.263401	15.075150	0.008100	0.6
29	-0.593684	13.467831	14.985738	0.005509	0.6
30	-0.609051	14.387106	14.596444	0.005637	0.6
31	-0.624477	14.226709	14.662905	0.009683	0.6
32	-0.630169	15.226708	14.258151	0.012109	0.6
33	-0.591532	16.226708	13.875143	0.002037	0.6
34	-0.591360	17.226463	13.512260	0.007914	0.6
35	-0.600160	18.132887	13.199279	0.009678	0.7
36	-0.604176	19.132887	12.870390	0.008377	0.9
37	-0.600017	20.132887	12.557492	0.005597	0.6
38	-0.624520	19.962489	12.609729	0.009535	0.6
39	-0.616419	20.962489	12.309229	0.008409	0.6
40	-0.602763	20.792136	12.359404	0.005660	0.6
41	-0.633057	21.792136	12.070580	0.002201	0.6
42	-0.634129	22.260122	11.940001	0.004832	0.6
43	-0.646908	22.362435	11.911829	0.002903	0.6
44	-0.594216	22.309222	11.926464	0.007229	0.6
45	-0.585345	22.304325	11.927813	0.006981	0.6
46	-0.595200	22.133969	11.974922	0.006311	0.6
47	-0.611502	22.743672	11.808014	0.005753	0.6
48	-0.617626	23.743672	11.544110	0.005623	0.5
49	-0.600446	24.743665	11.291747	0.011173	0.6
50	-0.616055	25.743652	11.050183	0.007383	0.6
51	-0.625211	26.743404	10.818791	0.005206	0.6
52	-0.631578	27.743056	10.596912	0.005548	0.5
53	-0.596073	27.572708	10.634076	0.006708	0.6
54	-0.629916	27.460050	10.658798	0.009406	0.5
55	-0.602253	28.460050	10.443295	0.010280	0.8
56	-0.616242	28.289653	10.479398	0.008544	0.6
57	-0.607723	29.289653	10.271017	0.002692	0.6
58	-0.584899	30.111458	10.105873	0.006365	0.6
59	-0.622121	31.108992	9.912414	0.004017	0.6
60	-0.636914	30.938595	9.944934	0.003362	0.6
61	-0.595610	31.491259	9.840227	0.008233	0.6
62	-0.611767	31.350031	9.866773	0.006188	0.6
63	-0.626611	31.179634	9.898994	0.005614	0.6
64	-0.593167	31.009263	9.931421	0.007043	0.6
65	-0.623672	32.009263	9.744068	0.007037	0.6
66	-0.601303	31.838866	9.775492	0.008699	0.6
67	-0.604223	31.830426	9.777053	0.009292	0.6
68	-0.580482	31.660625	9.808579	0.005303	0.6
69	-0.603347	31.491108	9.840255	0.004850	0.6
70	-0.596265	32.425474	9.668157	0.007524	0.6
71	-0.585767	32.276895	9.695120	0.005911	0.6
72	-0.623467	33.276828	9.516508	0.002001	0.5
73	-0.599584	34.180336	9.360688	0.005346	0.5
74	-0.627399	34.262014	9.346852	0.003427	0.5
75	-0.601307	35.250911	9.182534	0.005797	0.5
76	-0.589334	35.093877	9.208240	0.002830	0.6
77	-0.597589	36.066883	9.051237	0.004822	0.6
78	-0.595529	35.966613	9.067169	0.006689	0.7
79	-0.604853	36.356156	9.005588	0.010194	0.6
80	-0.622999	37.356156	8.851267	0.003625	0.6
81	-0.593248	37.190593	8.876450	0.002660	0.6
82	-0.610993	37.021938	8.902252	0.005669	0.6
83	-0.586227	36.853905	8.928108	0.005336	0.6
84	-0.598335	37.451574	8.836818	0.003529	0.6
85	-0.591334	38.436974	8.690313	0.005121	0.6
86	-0.589925	39.434206	8.546913	0.008137	0.6
87	-0.622393	39.263809	8.571079	0.002877	0.6
88	-0.610290	40.263710	8.431189	0.004813	0.6
89	-0.586275	41.250400	8.297551	0.006184	0.6
90	-0.599369	42.218800	8.170448	0.004701	0.6
91	-0.613031	42.048443	8.192524	0.009883	0.6
92	-0.589196	41.882382	8.214159	0.009748	0.6
93	-0.595242	42.882382	8.085577	0.004446	0.6
94	-0.607239	42.711994	8.107200	0.005174	0.6
95	-0.614370	42.541619	8.128938	0.006061	0.6
96	-0.624575	42.371222	8.150796	0.004109	0.6
97	-0.590549	42.205626	8.172151	0.008536	0.8
98	-0.615028	42.035229	8.194242	0.006329	0.7
99	-0.569301	42.505177	8.133603	0.003377	0.7
100	-0.594742	43.504949	8.007539	0.003757	0.7
101	-0.636070	43.437177	8.015961	0.008843	0.6
102	-0.593828	43.267179	8.037165	0.004931	0.6
