1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-1.523992	0.000000	145.398283	0.003283	12.0
1	-1.551281	0.000000	145.398283	0.003659	0.6
2	-1.534487	1.000000	138.789270	0.002076	0.5
3	-1.542532	2.000000	132.754954	0.001750	0.5
4	-1.544995	1.919680	133.220185	0.001341	0.5
5	-1.541419	1.839359	133.688687	0.001607	0.6
6	-1.538011	1.759039	134.160497	0.001436	0.5
7	-1.556787	1.678718	134.635648	0.002097	0.5
8	-1.552487	1.598398	135.114177	0.001736	0.5
9	-1.552988	1.518078	135.596120	0.001704	0.5
10	-1.538076	1.437757	136.081513	0.001761	0.5
11	-1.527670	1.357437	136.570394	0.001956	0.6
12	-1.565279	1.277116	137.062800	0.001881	0.6
13	-1.516356	1.196796	137.558770	0.001703	0.7
14	-1.545362	1.116476	138.058342	0.002085	0.6
15	-1.576658	1.036155	138.561556	0.001495	0.6
16	-1.561292	0.955835	139.068452	0.001564	0.6
17	-1.552643	0.875514	139.579070	0.001612	0.6
18	-1.544513	0.795194	140.093451	0.002496	0.5
19	-1.556627	0.714874	140.611638	0.001698	0.6
20	-1.554531	0.634553	141.133673	0.001813	0.5
21	-1.583101	0.554233	141.659598	0.002006	0.5
22	-1.549177	0.473912	142.189457	0.002155	0.6
23	-1.569028	0.393592	142.723295	0.001841	0.5
24	-1.542829	0.313272	143.261157	0.001522	0.5
25	-1.572115	0.232951	143.803088	0.001568	0.5
26	-1.564663	0.152631	144.349135	0.001594	0.5
27	-1.570418	0.072310	144.899344	0.002491	0.5
28	-1.524328	0.000000	145.398283	0.001622	0.5
29	-1.559140	0.000000	145.398283	0.001303	0.5
30	-1.540612	0.000000	145.398283	0.002108	0.5
31	-1.540260	0.000000	145.398283	0.002278	0.5
32	-1.542214	0.000000	145.398283	0.001645	0.5
33	-1.525540	0.000000	145.398283	0.001753	0.5
34	-1.561149	0.000000	145.398283	0.001438	0.6
35	-1.522393	0.000000	145.398283	0.001758	0.6
36	-1.534875	0.000000	145.398283	0.001342	0.7
37	-1.571597	0.000000	145.398283	0.001807	0.6
38	-1.543574	0.000000	145.398283	0.001381	0.5
39	-1.550536	0.000000	145.398283	0.001722	0.6
40	-1.570318	0.000000	145.398283	0.001656	0.5
41	-1.526058	0.000000	145.398283	0.001826	0.5
42	-1.549591	0.000000	145.398283	0.001471	0.6
43	-1.536657	0.000000	145.398283	0.001667	0.5
44	-1.561940	0.000000	145.398283	0.001274	0.5
45	-1.568774	0.000000	145.398283	0.001353	0.6
46	-1.531693	0.000000	145.398283	0.001128	0.5
47	-1.547853	0.000000	145.398283	0.001648	0.5
48	-1.537296	0.000000	145.398283	0.001211	0.5
49	-1.562177	0.000000	145.398283	0.001495	0.5
50	-1.572514	0.000000	145.398283	0.001503	0.5
51	-1.574130	0.000000	145.398283	0.001743	0.5
52	-1.521121	0.000000	145.398283	0.001462	0.5
53	-1.558070	0.000000	145.398283	0.001861	0.5
54	-1.560104	0.000000	145.398283	0.001815	0.5
55	-1.561437	0.000000	145.398283	0.001412	0.5
56	-1.570618	0.000000	145.398283	0.000559	0.5
57	-1.552025	0.000000	145.398283	0.001132	0.6
58	-1.563094	0.000000	145.398283	0.001608	0.6
59	-1.554154	0.000000	145.398283	0.002088	0.7
60	-1.550399	0.000000	145.398283	0.001394	0.6
61	-1.584502	0.008652	145.338402	0.000803	0.6
62	-1.575110	0.000000	145.398283	0.001077	0.6
63	-1.530385	0.000000	145.398283	0.001354	0.6
64	-1.558137	0.000000	145.398283	0.000863	0.6
65	-1.578642	0.000000	145.398283	0.001314	0.6
66	-1.574470	0.000000	145.398283	0.001688	0.5
67	-1.553808	0.000000	145.398283	0.001525	0.5
