1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.271524	0.000000	3.921365	0.016804	77.3
1	-0.285151	0.000000	3.921365	0.029287	0.7
2	-0.280420	0.999947	3.743131	0.032392	0.7
3	-0.281164	1.999315	3.580484	0.036534	0.6
4	-0.275083	2.999315	3.431293	0.021176	0.6
5	-0.275980	3.874702	3.310539	0.011798	0.6
6	-0.257180	4.859829	3.184425	0.009118	0.7
7	-0.266151	4.561541	3.221585	0.028491	0.6
8	-0.270394	3.854879	3.313180	0.019958	0.6
9	-0.253168	2.934023	3.440653	0.030046	0.6
10	-0.243608	3.844984	3.314499	0.017414	0.6
11	-0.284292	4.839521	3.186927	0.009288	0.6
12	-0.294596	3.956448	3.299695	0.012615	0.6
13	-0.292239	4.082829	3.283070	0.016337	0.6
14	-0.259243	4.817474	3.189649	0.012750	0.7
15	-0.257107	3.925878	3.303742	0.021372	0.7
16	-0.283876	4.919946	3.177039	0.033601	0.7
17	-0.258177	4.115121	3.278848	0.016541	0.7
18	-0.256901	5.100936	3.155009	0.012428	0.7
19	-0.275883	4.323844	3.251824	0.021400	0.7
20	-0.267049	3.773322	3.324087	0.025220	0.6
21	-0.280034	4.773319	3.195113	0.016955	0.8
22	-0.257573	5.624870	3.092923	0.029362	0.6
23	-0.251094	6.469543	2.997817	0.030514	0.6
24	-0.261621	7.469487	2.892524	0.009165	0.6
25	-0.281434	8.465237	2.794774	0.022046	0.6
26	-0.281701	9.455277	2.703921	0.021939	0.6
27	-0.274658	10.004534	2.656020	0.023828	0.6
28	-0.285378	11.004533	2.573032	0.028429	0.7
29	-0.281069	10.260488	2.634273	0.014696	0.7
30	-0.260447	11.256761	2.552912	0.032521	0.7
31	-0.243916	10.335881	2.627936	0.022052	0.7
32	-0.270856	11.335872	2.546666	0.021661	0.7
33	-0.283245	10.601254	2.605867	0.012129	0.6
34	-0.254006	10.130067	2.645310	0.005237	0.7
35	-0.284413	9.795624	2.674038	0.026495	0.7
36	-0.281796	8.932260	2.751168	0.013202	0.8
37	-0.272140	8.022943	2.837365	0.014106	0.6
38	-0.264287	7.161885	2.924118	0.013756	0.6
39	-0.247897	8.107842	2.829089	0.022294	0.7
40	-0.273868	9.077530	2.737880	0.020480	0.6
41	-0.294982	8.309609	2.809614	0.017481	0.7
42	-0.265888	7.415995	2.897969	0.016823	0.6
43	-0.256640	8.394770	2.801474	0.019951	0.7
44	-0.297141	7.757841	2.863521	0.014778	0.6
45	-0.246847	6.846859	2.957198	0.012249	0.6
46	-0.239772	6.249201	3.022058	0.023644	0.6
47	-0.264076	6.270911	3.019653	0.032177	1.0
48	-0.271272	5.350000	3.125187	0.015807	0.7
49	-0.259515	4.431760	3.238025	0.014856	0.6
50	-0.272986	3.795354	3.321133	0.014589	0.6
51	-0.277721	3.654898	3.340053	0.029924	0.6
52	-0.257948	2.818711	3.457310	0.025116	0.6
53	-0.253426	3.818711	3.318008	0.021908	0.7
54	-0.262067	2.899555	3.445615	0.032460	0.7
55	-0.281852	3.857316	3.312855	0.022219	0.8
56	-0.283190	4.857180	3.184751	0.026710	0.6
57	-0.290754	3.936256	3.302367	0.010383	0.7
58	-0.269297	3.553342	3.353868	0.010501	0.8
59	-0.272573	2.748282	3.467563	0.016722	0.6
60	-0.276837	2.573129	3.493328	0.040078	0.7
61	-0.266463	1.653164	3.635195	0.013530	0.8
62	-0.279466	0.734728	3.788806	0.024258	0.6
63	-0.259964	1.318388	3.689723	0.033682	0.6
64	-0.275673	0.401955	3.847718	0.034695	0.7
65	-0.285529	1.401955	3.675959	0.019034	0.6
66	-0.246914	2.136908	3.559191	0.022010	0.6
67	-0.267499	1.216679	3.706615	0.039727	0.6
68	-0.297117	2.216679	3.546962	0.027733	0.6
69	-0.261784	3.216677	3.400494	0.040074	0.6
70	-0.262669	4.216677	3.265643	0.030350	0.6
71	-0.268511	5.216508	3.141100	0.025154	0.6
72	-0.264424	6.216506	3.025689	0.010489	0.7
73	-0.273802	5.393187	3.120073	0.030671	0.8
74	-0.250625	4.473678	3.232697	0.033236	0.7
75	-0.281068	5.025313	3.164176	0.018500	0.7
76	-0.253700	4.122867	3.277837	0.012590	0.7
77	-0.282238	4.165727	3.272255	0.027481	0.7
78	-0.276779	5.100574	3.155052	0.016817	0.7
79	-0.282411	6.100506	3.038640	0.017772	0.7
80	-0.285816	5.521272	3.105005	0.024411	0.6
81	-0.282011	4.603012	3.216367	0.014123	0.7
82	-0.253498	5.602077	3.095573	0.025049	0.7
83	-0.284645	6.601590	2.983476	0.021970	0.6
84	-0.286568	5.682198	3.086278	0.016715	0.6
85	-0.284512	6.166184	3.031293	0.018693	0.7
86	-0.259366	5.937640	3.057011	0.016234	0.8
87	-0.253874	5.020472	3.164765	0.011437	0.6
88	-0.270167	5.297807	3.131389	0.009964	0.6
89	-0.272015	5.392114	3.120200	0.045091	0.6
90	-0.252909	6.366014	3.009159	0.010523	0.6
91	-0.291772	7.363817	2.903300	0.017807	0.7
92	-0.266420	7.776831	2.861631	0.032448	0.7
93	-0.279336	8.776828	2.765529	0.017778	0.7
94	-0.265391	9.768998	2.676352	0.039479	0.6
95	-0.281048	10.768997	2.592108	0.027070	0.6
96	-0.260478	10.412768	2.621503	0.027706	0.6
97	-0.262809	11.410942	2.540768	0.011675	0.6
98	-0.262494	11.220080	2.555818	0.020292	0.6
99	-0.275420	10.366135	2.625401	0.040099	0.8
100	-0.268838	9.454230	2.704014	0.034227	0.6
101	-0.282139	10.454230	2.618048	0.035880	0.6
102	-0.274977	11.454230	2.537379	0.038103	0.6
103	-0.265902	12.454230	2.461533	0.024595	0.6
104	-0.276366	11.534088	2.531151	0.026682	0.6
105	-0.256327	12.534084	2.455671	0.015462	0.6
106	-0.270065	13.530441	2.384814	0.025523	0.6
107	-0.250763	14.322145	2.331361	0.025062	0.6
108	-0.271820	13.404726	2.393528	0.028229	0.6
109	-0.276676	12.560741	2.453720	0.018857	0.7
110	-0.257675	12.630126	2.448658	0.023417	0.8
111	-0.279331	13.458641	2.389783	0.027323	0.7
112	-0.263637	14.458639	2.322387	0.013193	0.6
113	-0.283616	15.449791	2.259236	0.021797	0.6
114	-0.260619	14.532224	2.317577	0.031184	0.6
